state,zip_code,locations,active_locations,inactive_locations,unknown_status_locations,kroger_banner_locations,brands
CA,92557,1,1,0,0,0,1
CA,92562,1,1,0,0,0,1
CA,92571,1,1,0,0,0,1
CA,92584,1,1,0,0,0,1
CA,92591,1,1,0,0,0,1
CA,92592,1,1,0,0,0,1
CA,92610,1,1,0,0,0,1
CA,92614,1,1,0,0,0,1
CA,92620,1,1,0,0,0,1
CA,92627,1,1,0,0,0,1
CA,92648,1,1,0,0,0,1
CA,92649,1,1,0,0,0,1
CA,92651,1,1,0,0,0,1
CA,92653,1,1,0,0,0,1
CA,92656,1,1,0,0,0,1
CA,92672,1,1,0,0,0,1
CA,92677,1,1,0,0,0,1
CA,92688,1,1,0,0,0,1
CA,92691,1,1,0,0,0,1
CA,92692,1,1,0,0,0,1
CA,92701,1,1,0,0,0,1
CA,92704,1,1,0,0,0,1
CA,92708,1,1,0,0,0,1
CA,92782,1,1,0,0,0,1
CA,92802,1,1,0,0,0,1
CA,92804,1,1,0,0,0,1
CA,92808,1,1,0,0,0,1
CA,92821,1,1,0,0,0,1
CA,92831,1,1,0,0,0,1
CA,92840,1,1,0,0,0,1
CA,92861,1,1,0,0,0,1
CA,92868,1,1,0,0,0,1
CA,92870,1,1,0,0,0,1
CA,92880,1,1,0,0,0,1
CA,92882,1,1,0,0,0,1
CA,93003,1,1,0,0,0,1
CA,93010,1,1,0,0,0,1
CA,93021,1,1,0,0,0,1
CA,93036,1,1,0,0,0,1
CA,93041,1,1,0,0,0,1
CA,93065,1,1,0,0,0,1
CA,93101,1,1,0,0,0,1
CA,93111,1,1,0,0,0,1
CA,93230,1,1,0,0,0,1
CA,93274,1,1,0,0,0,1
CA,93304,1,1,0,0,0,1
CA,93305,1,1,0,0,0,1
CA,93402,1,1,0,0,0,1
CA,93405,1,1,0,0,0,1
CA,93436,1,1,0,0,0,1
CA,93454,1,1,0,0,0,1
CA,93536,1,1,0,0,0,1
CA,93550,1,1,0,0,0,1
CA,93726,1,1,0,0,0,1
CA,93727,1,1,0,0,0,1
CA,93905,1,1,0,0,0,1
CA,93960,1,1,0,0,0,1
CA,94103,1,1,0,0,0,1
CA,94124,1,1,0,0,0,1
CA,94565,1,1,0,0,0,1
CA,94605,1,1,0,0,0,1
CA,94801,1,1,0,0,0,1
CA,95820,1,1,0,0,0,1
CA,95823,1,1,0,0,0,1
CA,95834,1,1,0,0,0,1
CO,80002,1,1,0,0,0,1
CO,80004,1,1,0,0,0,1
CO,80014,1,1,0,0,0,1
CO,80015,1,1,0,0,0,1
CO,80021,1,1,0,0,0,1
CO,80023,1,1,0,0,0,1
CO,80026,1,1,0,0,0,1
